natasha,start,spacy
Сокольники,1605,сокольники
Мертвый переулок,10390,мёртвый переулок
Обухов,11389,обухов
Мясницкая улица,14254,мясницкий улица
Мохова,14742,мохов
Рю де ла Пэ,25838,рю де ла пэ
Славянский Базар,43538,славянский базар
Смоленский,55565,смоленский
Преображенскому,78670,преображенский
Обуховом переулок,82233,обуховом переулок
Кузнецкий,94441,кузнецкий
Вильно,137714,вильно
Оксфорд,139274,оксфорд
Хамовнический район,148554,хамовнический район
Борменталь,154225,борменталь
Борменталевский нос,156990,борменталевский нос
Обуховский переулок,163194,обуховский переулок
