start,natasha,spacy,natasha_clean,spacy_clean
1605,Сокольники,сокольники,Сокольники,сокольники
10390,Мертвый переулок,мёртвый переулок,Мертвый переулок,мёртвый переулок
11389,Обухов,обухов,Обухов,обухов
13597,Москва,москва,,
13917,Москва,москва,,
14254,Мясницкая улица,мясницкий улица,Мясницкая улица,мясницкий улица
14742,Мохова,мохов,Мохова,мохов
14916,Москва,москва,,
20452,Гренады,гренада,,
25828,Париж,париж,,
25838,Рю де ла Пэ,рю де ла пэ,Рю де ла Пэ,рю де ла пэ
28570,Гренады,гренада,,
28875,Москва,москва,,
29741,Гренады,гренада,,
30388,Москва,москва,,
35072,Москва,москва,,
37132,Москва,москва,,
37150,Россия,россия,,
37780,Сочи,сочи,,
39837,Германия,германия,,
40102,Германия,германия,,
42939,Гренады,гренада,,
43538,Славянский Базар,славянский базар,Славянский Базар,славянский базар
46570,Россия,россия,,
46585,Европа,европа,,
55565,Смоленский,смоленский,Смоленский,смоленский
66898,Нил,нил,,
75203,Европа,европа,,
77443,Европа,европа,,
78670,Преображенскому,преображенский,Преображенскому,преображенский
82233,Обуховом переулок,обуховом переулок,Обуховом переулок,обуховом переулок
84765,Севилья,севилья,,
84776,Гренады,гренада,,
88223,Москва,москва,,
94441,Кузнецкий,кузнецкий,Кузнецкий,кузнецкий
99740,Москва,москва,,
130078,Париж,париж,,
136293,Гренады,гренада,,
137714,Вильно,вильно,Вильно,вильно
137967,Гренады,гренада,,
139196,Москва,москва,,
139248,Москва,москва,,
139262,Лондон,лондон,,
139274,Оксфорд,оксфорд,Оксфорд,оксфорд
140025,Москва,москва,,
140436,Гренады,гренада,,
142086,Москва,москва,,
142628,Гренады,гренада,,
148554,Хамовнический район,хамовнический район,Хамовнический район,хамовнический район
150697,Москва,москва,,
154225,Борменталь,борменталь,Борменталь,борменталь
156990,Борменталевский нос,борменталевский нос,Борменталевский нос,борменталевский нос
159299,Москва,москва,,
163194,Обуховский переулок,обуховский переулок,Обуховский переулок,обуховский переулок
